area,segmento,UF,valor_solicitado,ano_projeto,target_ge50,share_raised_capped
Artes Cenicas,Apresentação ou Performance de Dança,RS,344009.877,2022,1.0,0.9960030013905676
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,PE,157106.4004,2022,0.0,0.0
Artes Cenicas,Teatro de bonecos e congêneres,SC,1306750.0,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,PR,248551.875,2022,1.0,0.8046609988357561
Artes Cenicas,Apresentação ou Performance de Teatro,RJ,486472.0009,2022,1.0,0.8798039747573888
Artes Cenicas,Apresentação ou Performance de Teatro,SP,373035.3008,2022,0.0,0.0
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,BA,336943.75,2022,0.0,0.0
Artes Cenicas,"Performance de Circo, Clown e Ilusionismo",SC,465661.104,2022,1.0,0.9911730999976327
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,SP,249260.0,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Dança,PB,966542.5,2022,0.0,0.0
Artes Cenicas,Teatro Musical,RJ,3441958.125,2022,0.0,0.0
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,PR,162162.0,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,RS,1439717.3984,2022,1.0,1.0
Artes Cenicas,Desfiles festivos de caráter musical e cênico,RS,410157.0,2022,0.0,0.48761815597441954
Artes Cenicas,Apresentação ou Performance de Dança,RS,138990.9404,2022,0.0,0.43384122610051784
Artes Cenicas,Apresentação ou Performance de Teatro,SP,499700.8516,2022,1.0,0.7997684989336529
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,MG,1590000.0052,2022,0.0,0.2664229991286795
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,RJ,1596633.9718,2022,1.0,1.0
Artes Cenicas,Apresentação ou Performance de Dança,SC,192328.5,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,SP,126984.0,2022,0.0,0.0
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,PR,244223.0996,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Dança,MG,676024.4955,2022,1.0,0.9870797056051352
Artes Cenicas,Apresentação ou Performance de Dança,MS,499373.208,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,GO,483656.25,2022,1.0,0.7131371712864251
Artes Cenicas,Apresentação ou Performance de Teatro,RS,3372250.0,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,SP,499844.3984,2022,1.0,1.0
Artes Cenicas,"Teatro Musical (c/ dramaturgia, danças e canções)",RN,918825.7559,2022,0.0,0.31234569575042975
Artes Cenicas,Apresentação ou Performance de Teatro,RS,301104.0,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,SP,498918.75,2022,0.0,0.0
Artes Cenicas,Teatro Musical,RJ,1120249.5,2022,0.0,0.0
Artes Cenicas,"Performance de Circo, Clown e Ilusionismo",SC,1112332.0,2022,0.0,0.24453130899767336
Artes Cenicas,Apresentação ou Performance de Teatro,CE,2034460.0,2022,0.0,0.0
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,SC,286164.4492,2022,1.0,0.7208222774584957
Artes Cenicas,Apresentação ou Performance de Teatro,RJ,1660075.0068,2022,1.0,0.7601786695364878
Artes Cenicas,Apresentação ou Performance de Dança,DF,217800.0,2022,0.0,0.0
Artes Cenicas,Empreend Ações Educ-Cult/Capacitação/Treinamento,MG,500000.0026,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Dança,SC,379031.9492,2022,1.0,0.7553603346743943
Artes Cenicas,Apresentação ou Performance de Teatro,SP,264414.2598,2022,0.0,0.0
Artes Cenicas,"Performance de Circo, Clown e Ilusionismo",SP,499687.1895,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,SP,497600.3984,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,RJ,258339.375,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,SP,499133.25,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,CE,876372.8906,2022,1.0,0.7873360842182126
Artes Cenicas,Apresentação ou Performance de Teatro,PR,463988.25,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Teatro,SP,499841.126,2022,1.0,0.793523960651449
Artes Cenicas,Apresentação ou Performance de Dança,RS,179373.1504,2022,1.0,0.643909078601989
Artes Cenicas,Desfiles festivos de caráter musical e cênico,SP,3999999.9535,2022,0.0,0.0
Artes Cenicas,Apresentação ou Performance de Dança,SC,247533.0,2022,0.0,0.08079730783370298
Artes Cenicas,Teatro Musical,SP,4389184.0,2022,0.0,0.0
